timestamp,price_eur_kwh
2026-08-11T02:00:00+02:00,0.17
2026-08-11T03:00:00+02:00,0.16
2026-08-11T04:00:00+02:00,0.16
2026-08-11T05:00:00+02:00,0.17
2026-08-11T06:00:00+02:00,0.19
2026-08-11T07:00:00+02:00,0.19
2026-08-11T08:00:00+02:00,0.18
2026-08-11T09:00:00+02:00,0.13
2026-08-11T10:00:00+02:00,0.07
2026-08-11T11:00:00+02:00,0.01
2026-08-11T12:00:00+02:00,0
2026-08-11T13:00:00+02:00,0
2026-08-11T14:00:00+02:00,0
2026-08-11T15:00:00+02:00,0
2026-08-11T16:00:00+02:00,0.05
2026-08-11T17:00:00+02:00,0.13
2026-08-11T18:00:00+02:00,0.18
2026-08-11T19:00:00+02:00,0.22
2026-08-11T20:00:00+02:00,0.24
2026-08-11T21:00:00+02:00,0.23
2026-08-11T22:00:00+02:00,0.21
2026-08-11T23:00:00+02:00,0.18
2026-08-12T00:00:00+02:00,0.19
2026-08-12T01:00:00+02:00,0.18
2026-08-12T02:00:00+02:00,0.17
2026-08-12T03:00:00+02:00,0.17
2026-08-12T04:00:00+02:00,0.17
2026-08-12T05:00:00+02:00,0.18
2026-08-12T06:00:00+02:00,0.21
2026-08-12T07:00:00+02:00,0.21
2026-08-12T08:00:00+02:00,0.19
2026-08-12T09:00:00+02:00,0.16
2026-08-12T10:00:00+02:00,0.11
2026-08-12T11:00:00+02:00,0.05
2026-08-12T12:00:00+02:00,0
2026-08-12T13:00:00+02:00,0
2026-08-12T14:00:00+02:00,0
2026-08-12T15:00:00+02:00,0.01
2026-08-12T16:00:00+02:00,0.11
2026-08-12T17:00:00+02:00,0.17
2026-08-12T18:00:00+02:00,0.22
2026-08-12T19:00:00+02:00,0.36
2026-08-12T20:00:00+02:00,0.36
2026-08-12T21:00:00+02:00,0.28
2026-08-12T22:00:00+02:00,0.23
2026-08-12T23:00:00+02:00,0.21
2026-08-13T00:00:00+02:00,0.18
2026-08-13T01:00:00+02:00,0.18
2026-08-13T02:00:00+02:00,0.17
2026-08-13T03:00:00+02:00,0.17
2026-08-13T04:00:00+02:00,0.17
2026-08-13T05:00:00+02:00,0.19
2026-08-13T06:00:00+02:00,0.21
2026-08-13T07:00:00+02:00,0.21
2026-08-13T08:00:00+02:00,0.19
2026-08-13T09:00:00+02:00,0.17
2026-08-13T10:00:00+02:00,0.13
2026-08-13T11:00:00+02:00,0.06
2026-08-13T12:00:00+02:00,0.01
2026-08-13T13:00:00+02:00,0
2026-08-13T14:00:00+02:00,0.01
2026-08-13T15:00:00+02:00,0.06
2026-08-13T16:00:00+02:00,0.13
2026-08-13T17:00:00+02:00,0.18
2026-08-13T18:00:00+02:00,0.24
2026-08-13T19:00:00+02:00,0.4
2026-08-13T20:00:00+02:00,0.41
2026-08-13T21:00:00+02:00,0.33
2026-08-13T22:00:00+02:00,0.25
2026-08-13T23:00:00+02:00,0.21
2026-08-14T00:00:00+02:00,0.19
2026-08-14T01:00:00+02:00,0.18
2026-08-14T02:00:00+02:00,0.18
2026-08-14T03:00:00+02:00,0.17
2026-08-14T04:00:00+02:00,0.17
2026-08-14T05:00:00+02:00,0.18
2026-08-14T06:00:00+02:00,0.21
2026-08-14T07:00:00+02:00,0.21
2026-08-14T08:00:00+02:00,0.18
2026-08-14T09:00:00+02:00,0.17
2026-08-14T10:00:00+02:00,0.15
2026-08-14T11:00:00+02:00,0.08
2026-08-14T12:00:00+02:00,0.04
2026-08-14T13:00:00+02:00,0.02
2026-08-14T14:00:00+02:00,0.02
2026-08-14T15:00:00+02:00,0.07
2026-08-14T16:00:00+02:00,0.15
2026-08-14T17:00:00+02:00,0.17
2026-08-14T18:00:00+02:00,0.22
2026-08-14T19:00:00+02:00,0.3
2026-08-14T20:00:00+02:00,0.31
2026-08-14T21:00:00+02:00,0.28
2026-08-14T22:00:00+02:00,0.24
2026-08-14T23:00:00+02:00,0.22
2026-08-15T00:00:00+02:00,0.21
2026-08-15T01:00:00+02:00,0.19
2026-08-15T02:00:00+02:00,0.19
2026-08-15T03:00:00+02:00,0.19
2026-08-15T04:00:00+02:00,0.18
2026-08-15T05:00:00+02:00,0.18
2026-08-15T06:00:00+02:00,0.19
2026-08-15T07:00:00+02:00,0.18
2026-08-15T08:00:00+02:00,0.18
2026-08-15T09:00:00+02:00,0.15
2026-08-15T10:00:00+02:00,0.08
2026-08-15T11:00:00+02:00,0.04
2026-08-15T12:00:00+02:00,0.01
2026-08-15T13:00:00+02:00,0.01
2026-08-15T14:00:00+02:00,0.01
2026-08-15T15:00:00+02:00,0.02
2026-08-15T16:00:00+02:00,0.08
2026-08-15T17:00:00+02:00,0.16
2026-08-15T18:00:00+02:00,0.21
2026-08-15T19:00:00+02:00,0.22
2026-08-15T20:00:00+02:00,0.22
2026-08-15T21:00:00+02:00,0.22
2026-08-15T22:00:00+02:00,0.22
2026-08-15T23:00:00+02:00,0.21
2026-08-16T00:00:00+02:00,0.21
2026-08-16T01:00:00+02:00,0.21
2026-08-16T02:00:00+02:00,0.21
