time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh,L1 max W,L2 max W,L3 max W
2025-06-15 00:00,12345.678,0.000,2345.123,0.000,0,0,0
2025-06-15 00:15,12345.737,0.000,2345.123,0.000,126,117,84
2025-06-15 00:30,12345.808,0.000,2345.123,0.000,110,126,111
2025-06-15 00:45,12345.892,0.000,2345.123,0.000,116,150,115
2025-06-15 01:00,12345.967,0.000,2345.123,0.000,114,110,115
2025-06-15 01:15,12346.044,0.000,2345.123,0.000,150,112,90
2025-06-15 01:30,12346.133,0.000,2345.123,0.000,120,121,157
2025-06-15 01:45,12346.200,0.000,2345.123,0.000,132,97,105
2025-06-15 02:00,12346.290,0.000,2345.123,0.000,168,172,110
2025-06-15 02:15,12346.383,0.000,2345.123,0.000,196,190,83
2025-06-15 02:30,12346.441,0.000,2345.123,0.000,86,88,83
2025-06-15 02:45,12346.498,0.000,2345.123,0.000,97,83,66
2025-06-15 03:00,12346.570,0.000,2345.123,0.000,148,135,68
2025-06-15 03:15,12346.652,0.000,2345.123,0.000,128,115,140
2025-06-15 03:30,12346.713,0.000,2345.123,0.000,110,104,122
2025-06-15 03:45,12346.794,0.000,2345.123,0.000,107,143,124
2025-06-15 04:00,12346.885,0.000,2345.123,0.000,183,172,99
2025-06-15 04:15,12346.977,0.000,2345.123,0.000,144,151,105
2025-06-15 04:30,12347.068,0.000,2345.123,0.000,206,187,114
2025-06-15 04:45,12347.164,0.000,2345.123,0.000,192,214,125
2025-06-15 05:00,12347.226,0.000,2345.123,0.000,100,119,86
2025-06-15 05:15,12347.310,0.000,2345.123,0.000,190,162,94
2025-06-15 05:30,12347.407,0.000,2345.123,0.000,175,182,108
2025-06-15 05:45,12347.498,0.000,2345.123,0.000,132,118,169
2025-06-15 06:00,12347.573,0.000,2345.123,0.000,169,156,92
2025-06-15 06:15,12347.655,0.000,2345.123,0.000,153,161,101
2025-06-15 06:30,12347.782,0.000,2345.123,0.000,249,220,113
2025-06-15 06:45,12347.910,0.000,2345.123,0.000,264,196,192
2025-06-15 07:00,12348.054,0.000,2345.123,0.000,258,215,234
2025-06-15 07:15,12348.181,0.000,2345.123,0.000,230,235,108
2025-06-15 07:30,12348.324,0.000,2345.123,0.000,314,272,146
2025-06-15 07:45,12348.465,0.000,2345.123,0.000,275,245,259
2025-06-15 08:00,12348.592,0.000,2345.123,0.000,275,208,191
2025-06-15 08:15,12348.703,0.000,2345.123,0.000,195,167,181
2025-06-15 08:30,12348.783,0.000,2345.123,0.000,135,118,132
2025-06-15 08:45,12348.829,0.000,2345.123,0.000,58,60,86
2025-06-15 09:00,12348.880,0.000,2345.123,0.000,81,86,114
2025-06-15 09:15,12348.883,0.000,2345.123,0.000,6,5,4
2025-06-15 09:30,12348.883,0.000,2345.152,0.000,-59,-61,-32
2025-06-15 09:45,12348.883,0.000,2345.203,0.000,-93,-99,-80
2025-06-15 10:00,12348.883,0.000,2345.289,0.000,-170,-125,-133
2025-06-15 10:15,12348.883,0.000,2345.402,0.000,-243,-238,-120
2025-06-15 10:30,12348.883,0.000,2345.529,0.000,-250,-190,-158
2025-06-15 10:45,12348.883,0.000,2345.678,0.000,-293,-247,-184
2025-06-15 11:00,12348.883,0.000,2345.820,0.000,-244,-234,-229
2025-06-15 11:15,12348.883,0.000,2345.993,0.000,-329,-292,-177
2025-06-15 11:30,12348.883,0.000,2346.161,0.000,-321,-313,-272
2025-06-15 11:45,12348.883,0.000,2346.350,0.000,-378,-395,-270
2025-06-15 12:00,12348.883,0.000,2346.568,0.000,-382,-419,-327
2025-06-15 12:15,12348.883,0.000,2346.767,0.000,-305,-276,-359
2025-06-15 12:30,12348.883,0.000,2346.977,0.000,-465,-359,-271
2025-06-15 12:45,12348.883,0.000,2347.205,0.000,-381,-411,-189
2025-06-15 13:00,12348.883,0.000,2347.415,0.000,-477,-353,-294
2025-06-15 13:15,12348.883,0.000,2347.615,0.000,-333,-313,-277
2025-06-15 13:30,12348.883,0.000,2347.823,0.000,-408,-424,-259
2025-06-15 13:45,12348.883,0.000,2348.028,0.000,-331,-418,-283
2025-06-15 14:00,12348.883,0.000,2348.231,0.000,-346,-312,-234
2025-06-15 14:15,12348.883,0.000,2348.421,0.000,-390,-399,-155
2025-06-15 14:30,12348.883,0.000,2348.614,0.000,-271,-300,-267
2025-06-15 14:45,12348.883,0.000,2348.783,0.000,-378,-333,-215
2025-06-15 15:00,12348.883,0.000,2348.916,0.000,-215,-255,-138
2025-06-15 15:15,12348.883,0.000,2349.037,0.000,-213,-268,-163
2025-06-15 15:30,12348.883,0.000,2349.124,0.000,-132,-143,-195
2025-06-15 15:45,12348.883,0.000,2349.194,0.000,-88,-126,-88
2025-06-15 16:00,12348.883,0.000,2349.252,0.000,-93,-117,-82
2025-06-15 16:15,12348.883,0.000,2349.261,0.000,-13,-16,-8
2025-06-15 16:30,12348.886,0.000,2349.261,0.000,5,6,4
2025-06-15 16:45,12348.952,0.000,2349.261,0.000,107,89,105
2025-06-15 17:00,12349.052,0.000,2349.261,0.000,174,147,160
2025-06-15 17:15,12349.207,0.000,2349.261,0.000,275,290,152
2025-06-15 17:30,12349.380,0.000,2349.261,0.000,299,319,153
2025-06-15 17:45,12349.608,0.000,2349.261,0.000,462,403,362
2025-06-15 18:00,12349.875,0.000,2349.261,0.000,496,445,217
2025-06-15 18:15,12350.189,0.000,2349.261,0.000,450,554,546
2025-06-15 18:30,12350.549,0.000,2349.261,0.000,579,744,579
2025-06-15 18:45,12350.932,0.000,2349.261,0.000,540,716,481
2025-06-15 19:00,12351.336,0.000,2349.261,0.000,723,718,276
2025-06-15 19:15,12351.776,0.000,2349.261,0.000,849,673,680
2025-06-15 19:30,12352.228,0.000,2349.261,0.000,718,755,471
2025-06-15 19:45,12352.694,0.000,2349.261,0.000,732,672,599
2025-06-15 20:00,12353.124,0.000,2349.261,0.000,758,716,888
2025-06-15 20:15,12353.549,0.000,2349.261,0.000,795,804,394
2025-06-15 20:30,12353.976,0.000,2349.261,0.000,871,925,461
2025-06-15 20:45,12354.370,0.000,2349.261,0.000,781,665,592
2025-06-15 21:00,12354.724,0.000,2349.261,0.000,597,574,643
2025-06-15 21:15,12355.048,0.000,2349.261,0.000,623,562,449
2025-06-15 21:30,12355.347,0.000,2349.261,0.000,530,485,341
2025-06-15 21:45,12355.603,0.000,2349.261,0.000,489,363,363
2025-06-15 22:00,12355.832,0.000,2349.261,0.000,431,425,281
2025-06-15 22:15,12356.016,0.000,2349.261,0.000,371,340,168
2025-06-15 22:30,12356.191,0.000,2349.261,0.000,297,386,223
2025-06-15 22:45,12356.328,0.000,2349.261,0.000,250,226,245
2025-06-15 23:00,12356.463,0.000,2349.261,0.000,249,262,99
2025-06-15 23:15,12356.585,0.000,2349.261,0.000,205,237,231
2025-06-15 23:30,12356.682,0.000,2349.261,0.000,159,162,91
2025-06-15 23:45,12356.771,0.000,2349.261,0.000,132,142,100
2025-06-16 00:00,12356.847,0.000,2349.261,0.000,136,153,132
