time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh,L1 max W,L2 max W,L3 max W
2025-01-01 00:00,12345.678,0.000,2345.123,0.000,0,0,0
2025-01-01 00:15,12345.751,0.000,2345.123,0.000,150,121,123
2025-01-01 00:30,12345.827,0.000,2345.123,0.000,130,143,75
2025-01-01 00:45,12345.901,0.000,2345.123,0.000,139,132,66
2025-01-01 01:00,12345.969,0.000,2345.123,0.000,108,116,79
2025-01-01 01:15,12346.048,0.000,2345.123,0.000,117,135,81
2025-01-01 01:30,12346.106,0.000,2345.123,0.000,83,94,116
2025-01-01 01:45,12346.165,0.000,2345.123,0.000,104,94,63
2025-01-01 02:00,12346.222,0.000,2345.123,0.000,103,90,61
2025-01-01 02:15,12346.309,0.000,2345.123,0.000,140,115,148
2025-01-01 02:30,12346.367,0.000,2345.123,0.000,107,92,91
2025-01-01 02:45,12346.447,0.000,2345.123,0.000,118,141,103
2025-01-01 03:00,12346.536,0.000,2345.123,0.000,135,140,159
2025-01-01 03:15,12346.603,0.000,2345.123,0.000,110,111,69
2025-01-01 03:30,12346.685,0.000,2345.123,0.000,133,191,129
2025-01-01 03:45,12346.758,0.000,2345.123,0.000,121,119,162
2025-01-01 04:00,12346.815,0.000,2345.123,0.000,95,100,74
2025-01-01 04:15,12346.906,0.000,2345.123,0.000,152,165,75
2025-01-01 04:30,12346.975,0.000,2345.123,0.000,109,127,119
2025-01-01 04:45,12347.065,0.000,2345.123,0.000,169,144,81
2025-01-01 05:00,12347.161,0.000,2345.123,0.000,169,153,140
2025-01-01 05:15,12347.248,0.000,2345.123,0.000,158,132,116
2025-01-01 05:30,12347.334,0.000,2345.123,0.000,178,199,86
2025-01-01 05:45,12347.443,0.000,2345.123,0.000,189,169,164
2025-01-01 06:00,12347.530,0.000,2345.123,0.000,148,180,124
2025-01-01 06:15,12347.658,0.000,2345.123,0.000,194,223,136
2025-01-01 06:30,12347.769,0.000,2345.123,0.000,189,238,189
2025-01-01 06:45,12347.914,0.000,2345.123,0.000,225,200,232
2025-01-01 07:00,12348.071,0.000,2345.123,0.000,228,275,231
2025-01-01 07:15,12348.249,0.000,2345.123,0.000,330,281,217
2025-01-01 07:30,12348.408,0.000,2345.123,0.000,288,241,328
2025-01-01 07:45,12348.594,0.000,2345.123,0.000,389,394,163
2025-01-01 08:00,12348.759,0.000,2345.123,0.000,295,256,283
2025-01-01 08:15,12348.912,0.000,2345.123,0.000,306,257,230
2025-01-01 08:30,12349.062,0.000,2345.123,0.000,199,219,282
2025-01-01 08:45,12349.223,0.000,2345.123,0.000,345,245,215
2025-01-01 09:00,12349.334,0.000,2345.123,0.000,180,188,187
2025-01-01 09:15,12349.435,0.000,2345.123,0.000,185,164,134
2025-01-01 09:30,12349.513,0.000,2345.123,0.000,139,150,134
2025-01-01 09:45,12349.582,0.000,2345.123,0.000,126,108,109
2025-01-01 10:00,12349.623,0.000,2345.123,0.000,63,73,56
2025-01-01 10:15,12349.647,0.000,2345.123,0.000,40,34,30
2025-01-01 10:30,12349.656,0.000,2345.123,0.000,11,14,14
2025-01-01 10:45,12349.658,0.000,2345.123,0.000,3,4,3
2025-01-01 11:00,12349.679,0.000,2345.123,0.000,39,34,39
2025-01-01 11:15,12349.692,0.000,2345.123,0.000,26,27,12
2025-01-01 11:30,12349.692,0.000,2345.130,0.000,-12,-13,-7
2025-01-01 11:45,12349.692,0.000,2345.150,0.000,-35,-41,-20
2025-01-01 12:00,12349.692,0.000,2345.163,0.000,-27,-26,-14
2025-01-01 12:15,12349.692,0.000,2345.194,0.000,-41,-48,-45
2025-01-01 12:30,12349.692,0.000,2345.203,0.000,-21,-20,-8
2025-01-01 12:45,12349.692,0.000,2345.215,0.000,-26,-23,-14
2025-01-01 13:00,12349.692,0.000,2345.237,0.000,-44,-41,-22
2025-01-01 13:15,12349.692,0.000,2345.259,0.000,-45,-39,-36
2025-01-01 13:30,12349.692,0.000,2345.261,0.000,-3,-2,-3
2025-01-01 13:45,12349.692,0.000,2345.289,0.000,-55,-60,-27
2025-01-01 14:00,12349.697,0.000,2345.289,0.000,10,8,8
2025-01-01 14:15,12349.697,0.000,2345.302,0.000,-16,-19,-22
2025-01-01 14:30,12349.697,0.000,2345.303,0.000,-2,-2,-1
2025-01-01 14:45,12349.716,0.000,2345.303,0.000,33,31,22
2025-01-01 15:00,12349.731,0.000,2345.303,0.000,26,26,23
2025-01-01 15:15,12349.754,0.000,2345.303,0.000,31,37,35
2025-01-01 15:30,12349.787,0.000,2345.303,0.000,60,62,43
2025-01-01 15:45,12349.843,0.000,2345.303,0.000,69,74,102
2025-01-01 16:00,12349.937,0.000,2345.303,0.000,166,140,99
2025-01-01 16:15,12350.037,0.000,2345.303,0.000,175,126,134
2025-01-01 16:30,12350.159,0.000,2345.303,0.000,211,200,137
2025-01-01 16:45,12350.299,0.000,2345.303,0.000,306,295,178
2025-01-01 17:00,12350.498,0.000,2345.303,0.000,396,355,237
2025-01-01 17:15,12350.709,0.000,2345.303,0.000,267,262,378
2025-01-01 17:30,12350.959,0.000,2345.303,0.000,490,469,329
2025-01-01 17:45,12351.274,0.000,2345.303,0.000,452,440,439
2025-01-01 18:00,12351.600,0.000,2345.303,0.000,630,543,575
2025-01-01 18:15,12351.985,0.000,2345.303,0.000,682,763,687
2025-01-01 18:30,12352.399,0.000,2345.303,0.000,873,833,575
2025-01-01 18:45,12352.838,0.000,2345.303,0.000,721,799,516
2025-01-01 19:00,12353.288,0.000,2345.303,0.000,843,840,638
2025-01-01 19:15,12353.767,0.000,2345.303,0.000,1056,872,745
2025-01-01 19:30,12354.239,0.000,2345.303,0.000,994,820,612
2025-01-01 19:45,12354.719,0.000,2345.303,0.000,918,762,548
2025-01-01 20:00,12355.169,0.000,2345.303,0.000,902,829,493
2025-01-01 20:15,12355.622,0.000,2345.303,0.000,708,756,876
2025-01-01 20:30,12356.056,0.000,2345.303,0.000,680,793,644
2025-01-01 20:45,12356.455,0.000,2345.303,0.000,809,643,637
2025-01-01 21:00,12356.825,0.000,2345.303,0.000,733,710,582
2025-01-01 21:15,12357.134,0.000,2345.303,0.000,625,576,309
2025-01-01 21:30,12357.421,0.000,2345.303,0.000,517,538,333
2025-01-01 21:45,12357.680,0.000,2345.303,0.000,336,325,441
2025-01-01 22:00,12357.894,0.000,2345.303,0.000,407,409,192
2025-01-01 22:15,12358.100,0.000,2345.303,0.000,254,286,352
2025-01-01 22:30,12358.282,0.000,2345.303,0.000,341,312,182
2025-01-01 22:45,12358.451,0.000,2345.303,0.000,305,271,343
2025-01-01 23:00,12358.591,0.000,2345.303,0.000,224,205,207
2025-01-01 23:15,12358.703,0.000,2345.303,0.000,208,205,168
2025-01-01 23:30,12358.815,0.000,2345.303,0.000,194,187,107
2025-01-01 23:45,12358.930,0.000,2345.303,0.000,145,143,214
2025-01-02 00:00,12358.996,0.000,2345.303,0.000,126,108,60
2025-01-02 00:15,12359.083,0.000,2345.303,0.000,155,117,139
2025-01-02 00:30,12359.167,0.000,2345.303,0.000,150,138,157
2025-01-02 00:45,12359.253,0.000,2345.303,0.000,126,123,171
2025-01-02 01:00,12359.338,0.000,2345.303,0.000,168,163,78
2025-01-02 01:15,12359.413,0.000,2345.303,0.000,127,125,162
2025-01-02 01:30,12359.490,0.000,2345.303,0.000,123,157,116
2025-01-02 01:45,12359.555,0.000,2345.303,0.000,109,106,72
2025-01-02 02:00,12359.632,0.000,2345.303,0.000,145,124,77
2025-01-02 02:15,12359.716,0.000,2345.303,0.000,152,132,75
2025-01-02 02:30,12359.783,0.000,2345.303,0.000,94,110,81
2025-01-02 02:45,12359.868,0.000,2345.303,0.000,158,134,93
2025-01-02 03:00,12359.931,0.000,2345.303,0.000,115,99,108
2025-01-02 03:15,12360.019,0.000,2345.303,0.000,115,164,103
2025-01-02 03:30,12360.084,0.000,2345.303,0.000,111,117,85
2025-01-02 03:45,12360.158,0.000,2345.303,0.000,117,164,103
2025-01-02 04:00,12360.246,0.000,2345.303,0.000,128,147,136
2025-01-02 04:15,12360.332,0.000,2345.303,0.000,146,132,136
2025-01-02 04:30,12360.409,0.000,2345.303,0.000,133,109,84
2025-01-02 04:45,12360.484,0.000,2345.303,0.000,122,98,123
2025-01-02 05:00,12360.571,0.000,2345.303,0.000,154,147,71
2025-01-02 05:15,12360.661,0.000,2345.303,0.000,138,176,165
2025-01-02 05:30,12360.751,0.000,2345.303,0.000,157,154,128
2025-01-02 05:45,12360.843,0.000,2345.303,0.000,131,179,154
2025-01-02 06:00,12360.928,0.000,2345.303,0.000,134,146,156
2025-01-02 06:15,12361.050,0.000,2345.303,0.000,217,251,206
2025-01-02 06:30,12361.192,0.000,2345.303,0.000,197,250,239
2025-01-02 06:45,12361.332,0.000,2345.303,0.000,236,265,173
2025-01-02 07:00,12361.472,0.000,2345.303,0.000,269,307,152
2025-01-02 07:15,12361.651,0.000,2345.303,0.000,245,363,264
2025-01-02 07:30,12361.811,0.000,2345.303,0.000,278,301,208
2025-01-02 07:45,12361.994,0.000,2345.303,0.000,378,352,197
2025-01-02 08:00,12362.194,0.000,2345.303,0.000,473,447,193
2025-01-02 08:15,12362.387,0.000,2345.303,0.000,313,303,415
2025-01-02 08:30,12362.571,0.000,2345.303,0.000,276,321,184
2025-01-02 08:45,12362.729,0.000,2345.303,0.000,274,338,220
2025-01-02 09:00,12362.860,0.000,2345.303,0.000,272,229,219
2025-01-02 09:15,12362.960,0.000,2345.303,0.000,185,137,154
2025-01-02 09:30,12363.042,0.000,2345.303,0.000,137,124,107
2025-01-02 09:45,12363.124,0.000,2345.303,0.000,156,182,119
2025-01-02 10:00,12363.194,0.000,2345.303,0.000,114,123,61
2025-01-02 10:15,12363.234,0.000,2345.303,0.000,82,69,46
2025-01-02 10:30,12363.267,0.000,2345.303,0.000,67,59,53
2025-01-02 10:45,12363.295,0.000,2345.303,0.000,59,42,37
2025-01-02 11:00,12363.321,0.000,2345.303,0.000,42,45,25
2025-01-02 11:15,12363.336,0.000,2345.303,0.000,30,25,19
2025-01-02 11:30,12363.352,0.000,2345.303,0.000,32,23,20
2025-01-02 11:45,12363.369,0.000,2345.303,0.000,32,32,24
2025-01-02 12:00,12363.382,0.000,2345.303,0.000,28,20,23
2025-01-02 12:15,12363.382,0.000,2345.313,0.000,-19,-13,-14
2025-01-02 12:30,12363.382,0.000,2345.325,0.000,-18,-24,-20
2025-01-02 12:45,12363.392,0.000,2345.325,0.000,13,16,10
2025-01-02 13:00,12363.392,0.000,2345.327,0.000,-2,-2,-1
2025-01-02 13:15,12363.392,0.000,2345.339,0.000,-22,-25,-14
2025-01-02 13:30,12363.401,0.000,2345.339,0.000,16,15,13
2025-01-02 13:45,12363.412,0.000,2345.339,0.000,16,20,16
2025-01-02 14:00,12363.432,0.000,2345.339,0.000,38,38,15
2025-01-02 14:15,12363.445,0.000,2345.339,0.000,21,24,18
2025-01-02 14:30,12363.483,0.000,2345.339,0.000,79,69,59
2025-01-02 14:45,12363.524,0.000,2345.339,0.000,86,65,55
2025-01-02 15:00,12363.546,0.000,2345.339,0.000,43,36,22
2025-01-02 15:15,12363.609,0.000,2345.339,0.000,100,98,67
2025-01-02 15:30,12363.684,0.000,2345.339,0.000,146,108,90
2025-01-02 15:45,12363.774,0.000,2345.339,0.000,148,140,126
2025-01-02 16:00,12363.854,0.000,2345.339,0.000,156,138,75
2025-01-02 16:15,12363.959,0.000,2345.339,0.000,173,180,165
2025-01-02 16:30,12364.084,0.000,2345.339,0.000,260,237,129
2025-01-02 16:45,12364.251,0.000,2345.339,0.000,335,371,203
2025-01-02 17:00,12364.446,0.000,2345.339,0.000,345,365,281
2025-01-02 17:15,12364.683,0.000,2345.339,0.000,410,368,424
2025-01-02 17:30,12364.931,0.000,2345.339,0.000,435,424,430
2025-01-02 17:45,12365.216,0.000,2345.339,0.000,471,402,375
2025-01-02 18:00,12365.538,0.000,2345.339,0.000,601,469,491
2025-01-02 18:15,12365.920,0.000,2345.339,0.000,552,640,524
2025-01-02 18:30,12366.318,0.000,2345.339,0.000,696,654,518
2025-01-02 18:45,12366.761,0.000,2345.339,0.000,592,634,684
2025-01-02 19:00,12367.226,0.000,2345.339,0.000,1063,879,571
2025-01-02 19:15,12367.677,0.000,2345.339,0.000,861,909,545
2025-01-02 19:30,12368.163,0.000,2345.339,0.000,779,705,832
2025-01-02 19:45,12368.645,0.000,2345.339,0.000,738,688,985
2025-01-02 20:00,12369.115,0.000,2345.339,0.000,734,730,573
2025-01-02 20:15,12369.558,0.000,2345.339,0.000,886,941,641
2025-01-02 20:30,12369.976,0.000,2345.339,0.000,941,669,671
2025-01-02 20:45,12370.355,0.000,2345.339,0.000,703,801,574
2025-01-02 21:00,12370.714,0.000,2345.339,0.000,568,581,580
2025-01-02 21:15,12371.032,0.000,2345.339,0.000,667,669,288
2025-01-02 21:30,12371.313,0.000,2345.339,0.000,500,505,408
2025-01-02 21:45,12371.580,0.000,2345.339,0.000,455,573,306
2025-01-02 22:00,12371.797,0.000,2345.339,0.000,298,316,428
2025-01-02 22:15,12371.979,0.000,2345.339,0.000,264,315,219
2025-01-02 22:30,12372.155,0.000,2345.339,0.000,286,365,198
2025-01-02 22:45,12372.317,0.000,2345.339,0.000,259,306,215
2025-01-02 23:00,12372.445,0.000,2345.339,0.000,205,190,246
2025-01-02 23:15,12372.578,0.000,2345.339,0.000,188,267,177
2025-01-02 23:30,12372.670,0.000,2345.339,0.000,177,140,166
2025-01-02 23:45,12372.774,0.000,2345.339,0.000,174,230,161
2025-01-03 00:00,12372.867,0.000,2345.339,0.000,153,127,168
2025-01-03 00:15,12372.938,0.000,2345.339,0.000,102,107,94
2025-01-03 00:30,12373.009,0.000,2345.339,0.000,128,119,54
2025-01-03 00:45,12373.074,0.000,2345.339,0.000,88,109,87
2025-01-03 01:00,12373.160,0.000,2345.339,0.000,195,198,86
2025-01-03 01:15,12373.225,0.000,2345.339,0.000,121,137,82
